color,0,255,0
91,1,131,23
131,23,96,73
96,73,96,88
56,93,146,83
146,83,161,68
161,68,191,58
191,58,221,68
221,68,231,83
231,83,321,96
281,88,281,73
281,73,246,23
246,23,291,1
291,1,376,88
376,88,376,175
376,175,278,233
278,233,241,163
241,163,258,141
318,132,231,143
231,143,218,155
218,155,191,165
191,165,162,155
162,155,148,143
148,143,60,131
116,139,134,163
134,163,101,233
101,233,8,175
8,175,1,86
1,86,91,1
251,31,275,21
275,21,316,73
316,73,278,68
278,68,251,31
280,20,292,15
292,15,358,81
358,81,325,76
325,76,280,20
246,157,269,196
269,196,314,146
314,146,298,134
321,153,353,175
353,175,284,220
284,220,273,202
273,202,321,153
266,108,301,112
301,112,301,119
301,119,266,124
266,124,266,108
126,30,104,21
104,21,63,73
63,73,98,68
102,19,88,11
88,11,18,80
18,80,55,75
55,75,102,19
79,133,63,146
63,146,109,196
109,196,130,157
56,152,105,202
105,202,95,221
95,221,27,175
27,175,56,152
78,110,112,106
112,106,112,123
112,123,78,118
78,118,78,110
161,68,218,68
190,88,190,103
190,103,202,107
202,107,212,97
202,107,206,118
206,118,220,118
206,118,201,130
201,130,211,139
190,134,190,148
190,134,178,130
190,134,201,130
178,130,169,139
178,130,174,118
174,118,160,118
174,118,179,107
179,107,169,96
179,107,190,103
190,88,212,97
212,97,220,118
220,118,211,138
211,138,190,148
190,148,169,139
169,139,160,118
160,118,169,96
169,96,190,88
